operacion;cliente;comercial;origen;destino;incoterm;pais;transporte;qpallets;costotransporte;tarifacomerciales;precio;agencia;fechacarga;producto
436;5100;DAVID;OSUNA;VITTERBO;DAP;ITALIA;CAMION;33;1780;2370;8497;LIBERTIA;12/2020;ACEITUNAS VERDES SIN HUESO
437;4900;IRENE;ARASOL;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;2250;2350;12899;TRANSTIRA;12/2020;ACEITUNAS VERDES  RODAJAS
438;4900;IRENE;ACENORCA;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;1870;2350;10201;GIRTEKA;12/2020;ACEITUNAS NEGRAS RODAJAS
439;4900;IRENE;ACENORCA;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;1870;2350;12899;TRANSTIRA;12/2020;ACEITUNAS VERDES  RODAJAS
440;4500;DAVID;ACENORCA;PORTSMOUTH;DDP;REINO UNIDO;40';25;2250;2234;13188;CONTAINERSHIPS;12/2020;ACEITUNAS VERDES SIN HUESO
441;4000;DAVID;ARASOL;PARK ROYAL;DDP;REINO UNIDO;20';11;1440;1940;21580;TRANSITEX;12/2020;ACEITUNAS RELLENAS PIMIENTO
442;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;1656;2200;20400;CONTAINERSHIPS;12/2020;ACEITUNAS  RELLENAS  ANCHOA
443;3600;DAVID;ACENORCA;GENOVA;DAP;ITALIA;CAMION;33;1650;1950;10201;LIBERTIA;12/2020;ACEITUNAS NEGRAS RODAJAS
444;3300;DAVID;OLIVES;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1190;1300;8497;TRANSMOVIEX;12/2020;ACEITUNAS VERDES SIN HUESO
445;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1180;1300;11187;SENNDER;12/2020;ACEITUNAS RELLENAS PIMIENTO
446;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1050;1300;11187;GIRTEKA;12/2020;ACEITUNAS RELLENAS PIMIENTO
447;3300;DAVID;OSUNA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1140;1300;10201;SENNDER;12/2020;ACEITUNAS NEGRAS RODAJAS
448;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1150;1350;11187;SENNDER;12/2020;ACEITUNAS RELLENAS PIMIENTO
449;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1190;1350;11187;TRANSMOVIEX;12/2020;ACEITUNAS RELLENAS PIMIENTO
450;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1150;1350;10053;TRANSMOVIEX;12/2020;ACEITUNAS  RELLENAS  ANCHOA
451;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1190;1425;12899;SENNDER;12/2020;ACEITUNAS VERDES  RODAJAS
452;2000;DAVID;CAZORLA;LIEUSAINT;DAP;FRANCIA;CAMION;33;1825;1750;11187;TRANSNABA;12/2020;ACEITUNAS RELLENAS PIMIENTO
453;1900;DAVID;ARASOL;BARKING;DAP;REINO UNIDO;20';11;1654;2234;11517;CONTAINERSHIPS;12/2020;ACEITUNAS VERDES  RODAJAS
454;1900;DAVID;ACENORCA;BARKING;DAP;REINO UNIDO;40';25;1950;2234;24120;TRANSITEX;12/2020;ACEITUNAS RELLENAS PIMIENTO
455;7800;DAVID;OLIVES;ARMSTRONG;DAP;REINO UNIDO;40';25;2100;2227;13188;GIRTEKA;12/2020;ACEITUNAS VERDES SIN HUESO
456;7800;DAVID;OSUNA;ARMSTRONG;DAP;REINO UNIDO;40';25;2300;2227;20400;GIRTEKA;12/2020;ACEITUNAS  RELLENAS  ANCHOA
457;7800;DAVID;OSUNA;ARMSTRONG;DAP;REINO UNIDO;40';25;2950;2227;20700;IBERICA TRANSLOGISTIC;12/2020;ACEITUNAS NEGRAS RODAJAS
458;6100;IRENE;ARASOL;HAMBURGO;DAP;ALEMANIA;40';25;1660;1579;20700;CONTAINERSHIPS;12/2020;ACEITUNAS NEGRAS RODAJAS
459;6100;IRENE;OSUNA;HAMBURGO;DAP;ALEMANIA;40';25;1830;1579;20700;CONTAINERSHIPS;12/2020;ACEITUNAS NEGRAS RODAJAS
460;6100;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1950;1579;13188;CONTAINERSHIPS;12/2020;ACEITUNAS VERDES SIN HUESO
461;1700;PACHI;ARASOL;SHARJAH;CFR;EMIRATOS ARABES UNIDOS;20';11;1650;1600;5803;PINTO BASTO;12/2020;ACEITUNAS VERDES SIN HUESO
462;1700;PACHI;OSUNA;SHARJAH;CFR;EMIRATOS ARABES UNIDOS;20';11;1400;1600;8976;PINTO BASTO;12/2020;ACEITUNAS  RELLENAS  ANCHOA
463;1700;PACHI;OSUNA;SHARJAH;CFR;EMIRATOS ARABES UNIDOS;20';11;1950;1600;11517;PINTO BASTO;12/2020;ACEITUNAS VERDES  RODAJAS
464;1400;ISABEL;ACENORCA;HAIFA;CFR;ISRAEL;40';25;1450;1625;26180;PINTO BASTO;12/2020;ACEITUNAS VERDES  RODAJAS
465;10300;PACHI;CAZORLA;SAN PETERSBURGO;CFR;RUSIA;40';25;1130;1600;20700;PINTO BASTO;12/2020;ACEITUNAS NEGRAS RODAJAS
466;10300;PACHI;ARASOL;SAN PETERSBURGO;CIF;RUSIA;40';25;1100;1750;20400;PINTO BASTO;12/2020;ACEITUNAS  RELLENAS  ANCHOA
467;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;1450;1450;20700;PINTO BASTO;12/2020;ACEITUNAS NEGRAS RODAJAS
468;5500;PACHI;ARASOL;BANGALORE;CFR;INDIA;20';11;2175;2150;21580;PINTO BASTO;12/2020;ACEITUNAS RELLENAS PIMIENTO
469;5500;PACHI;ACENORCA;BANGALORE;CFR;INDIA;20';11;2175;2150;11517;PINTO BASTO;12/2020;ACEITUNAS VERDES  RODAJAS
470;9900;PACHI;OLIVES;ITAPOA;CFR;BRASIL;20';11;1100;1184;5803;PINTO BASTO;12/2020;ACEITUNAS VERDES SIN HUESO
471;400;PACHI;ARASOL;KARACHI;CFR;PAKISTAN;20';11;1540;1800;11517;PINTO BASTO;12/2020;ACEITUNAS VERDES  RODAJAS
472;1500;PACHI;OSUNA;SHUWAIKH;CFR;KUWAIT;20';11;1475;1800;5803;PINTO BASTO;12/2020;ACEITUNAS VERDES SIN HUESO
473;7200;DAVID;ARASOL;FLEURY LES AUBRAIS;DAP;FRANCIA;CAMION;33;2290;2000;10053;PEREZ RANGEL;12/2020;ACEITUNAS  RELLENAS  ANCHOA
474;4900;IRENE;ACENORCA;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;1900;2350;22378;TRANSTIRA;1/2021;ACEITUNAS VERDES  RODAJAS
475;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;40';25;2850;2100;20859;LKW WALTER;1/2021;ACEITUNAS RELLENAS PIMIENTO
476;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;40';25;2780;2100;20859;RLC;1/2021;ACEITUNAS RELLENAS PIMIENTO
477;1800;IRENE;ARASOL;COLONIA;DAP;ALEMANIA;CAMION;33;1995;2100;14988;GEODIS;1/2021;ACEITUNAS VERDES SIN HUESO
478;4200;PACHI;OSUNA;BUSAN;CIF;COREA DEL SUR;20';11;1150;1400;18791;PINTO BASTO;1/2021;ACEITUNAS VERDES  RODAJAS
479;7100;DAVID;OSUNA;CERMENATE;DAP;ITALIA;CAMION;33;1950;1900;23362;LIBERTIA;1/2021;ACEITUNAS RELLENAS PIMIENTO
480;7000;DAVID;ARASOL;MONTEPRANDONE;DAP;ITALIA;CAMION;33;2300;2200;23362;LIBERTIA;1/2021;ACEITUNAS RELLENAS PIMIENTO
481;7000;DAVID;CAZORLA;MONTEPRANDONE;DAP;ITALIA;CAMION;33;1900;2050;24353;TRANSTIRA;1/2021;ACEITUNAS NEGRAS RODAJAS
482;6600;ISABEL;ACENORCA;HAIFA;CIF;ISRAEL;20';11;1385;1500;9567;TRANSITEX;1/2021;ACEITUNAS NEGRAS RODAJAS
483;10300;PACHI;ARASOL;SAN PETERSBURGO;CIF;RUSIA;40';25;1160;1750;21744;TRANSITEX;1/2021;ACEITUNAS NEGRAS RODAJAS
484;1100;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;20';11;1925;1650;19178;OPERINTER;1/2021;ACEITUNAS RELLENAS PIMIENTO
485;7100;DAVID;ACENORCA;FORONE UZZANO;DAP;ITALIA;CAMION;33;1660;1900;22378;LKW WALTER;1/2021;ACEITUNAS VERDES  RODAJAS
486;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;1430;1650;20859;PINTO BASTO;1/2021;ACEITUNAS RELLENAS PIMIENTO
487;5500;PACHI;OSUNA;BANGALORE;CFR;INDIA;20';11;1990;2150;5888;PINTO BASTO;1/2021;ACEITUNAS VERDES SIN HUESO
488;400;PACHI;ARASOL;KARACHI;CFR;PAKISTAN;20';11;1750;1825;18791;PINTO BASTO;1/2021;ACEITUNAS VERDES  RODAJAS
489;300;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;40';25;1700;2200;21744;PINTO BASTO;1/2021;ACEITUNAS NEGRAS RODAJAS
490;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1830;1850;18791;OPERINTER;2/2021;ACEITUNAS VERDES  RODAJAS
491;6600;ISABEL;ACENORCA;HAIFA;CIF;ISRAEL;20';11;1325;1500;19178;OPERINTER;2/2021;ACEITUNAS RELLENAS PIMIENTO
492;1400;ISABEL;ACENORCA;HAIFA;CFR;ISRAEL;20';11;1645;1600;5888;BRAID;2/2021;ACEITUNAS VERDES SIN HUESO
493;6600;ISABEL;ACENORCA;HAIFA;CIF;ISRAEL;20';11;1350;1500;9226;BRAID;2/2021;ACEITUNAS  RELLENAS  ANCHOA
494;6600;ISABEL;ACENORCA;HAIFA;CIF;ISRAEL;20';11;1350;1500;9226;BRAID;2/2021;ACEITUNAS  RELLENAS  ANCHOA
495;6700;DAVID;ACENORCA;CASTELLO DI ANNONE;DAP;ITALIA;CAMION;33;1800;1800;23362;LIBERTIA;2/2021;ACEITUNAS RELLENAS PIMIENTO
496;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1470;1650;9567;TRANSITEX;2/2021;ACEITUNAS NEGRAS RODAJAS
497;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1470;1650;5888;TRANSITEX;2/2021;ACEITUNAS VERDES SIN HUESO
498;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;1640;1680;24353;LKW WALTER;2/2021;ACEITUNAS NEGRAS RODAJAS
499;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;20';11;1630;1800;9226;PINTO BASTO;2/2021;ACEITUNAS  RELLENAS  ANCHOA
500;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;1890;2000;20859;PINTO BASTO;2/2021;ACEITUNAS RELLENAS PIMIENTO
501;7200;DAVID;ARASOL;FLEURY LES AUBRAIS;DAP;FRANCIA;CAMION;33;1795;1835;14988;CARRERAS;3/2021;ACEITUNAS VERDES SIN HUESO
502;7200;DAVID;ACENORCA;FLEURY LES AUBRAIS;DAP;FRANCIA;CAMION;33;1540;1835;24353;CARRERAS;3/2021;ACEITUNAS NEGRAS RODAJAS
503;7400;DAVID;ACENORCA;BERGEN OP ZOOM;DAP;PAISES BAJOS;CAMION;33;1980;2200;24353;FERCAM TRANSPORTES;3/2021;ACEITUNAS NEGRAS RODAJAS
504;7700;IRENE;OLIVES;ZEEBRUGGE;DDP;BELGICA;CAMION;33;1950;2195;23485;TRANSPORTES RUIZ Y BEJARANO;3/2021;ACEITUNAS  RELLENAS  ANCHOA
505;2400;DAVID;CAZORLA;LOMATRANS;DAP;FRANCIA;CAMION;33;1600;1680;23485;RLC;3/2021;ACEITUNAS  RELLENAS  ANCHOA
506;6300;PACHI;OSUNA;GDANSK;DDP;POLONIA;20';11;1440;1600;19178;EUROSHIPPING;3/2021;ACEITUNAS RELLENAS PIMIENTO
507;2500;DAVID;ACENORCA;CERIGNOLA;DAP;ITALIA;CAMION;33;2190;2350;22378;LKW WALTER;3/2021;ACEITUNAS VERDES  RODAJAS
508;7100;DAVID;OSUNA;CERMENATE;DAP;ITALIA;CAMION;33;1900;1900;22378;LIBERTIA;3/2021;ACEITUNAS VERDES  RODAJAS
509;1400;ISABEL;ACENORCA;HAIFA;CFR;ISRAEL;40';25;1575;2650;21744;TRANSITEX;3/2021;ACEITUNAS NEGRAS RODAJAS
510;10300;PACHI;ARASOL;SAN PETERSBURGO;CIF;RUSIA;20';11;1074;1500;5888;YUSEN LOGISTICS;3/2021;ACEITUNAS VERDES SIN HUESO
511;6500;DAVID;OSUNA;VALLESE DI OPPEANO;DAP;ITALIA;CAMION;33;1850;1900;23362;LIBERTIA;3/2021;ACEITUNAS RELLENAS PIMIENTO
512;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;20';11;2035;2000;19178;TRANSITEX;3/2021;ACEITUNAS RELLENAS PIMIENTO
513;8100;PACHI;ARASOL;PARANAGUA;CFR;BRASIL;20';11;1072;1200;18791;DSV;3/2021;ACEITUNAS VERDES  RODAJAS
514;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;1715;2250;19980;TRANSITEX;3/2021;ACEITUNAS VERDES  RODAJAS
515;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;2335;2250;21744;TRANSITEX;3/2021;ACEITUNAS NEGRAS RODAJAS
516;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1300;1425;22378;JOMAPORTES;3/2021;ACEITUNAS VERDES  RODAJAS
517;8000;PACHI;ARASOL;PARANAGUA;CFR;BRASIL;40';25;1050;1200;20969;TRANSITEX;3/2021;ACEITUNAS  RELLENAS  ANCHOA
518;2000;DAVID;CAZORLA;LIEUSAINT;DAP;FRANCIA;CAMION;33;1800;1850;23485;TRANS CASTELLANA MANCHEGA DE CARGAS, S.L.;3/2021;ACEITUNAS  RELLENAS  ANCHOA
519;2000;DAVID;CAZORLA;LIEUSAINT;DAP;FRANCIA;CAMION;33;1700;1850;23485;TRANSTIRA;3/2021;ACEITUNAS  RELLENAS  ANCHOA
520;2000;DAVID;ACENORCA;LIEUSAINT;DAP;FRANCIA;CAMION;33;1620;1850;24353;LKW WALTER;3/2021;ACEITUNAS NEGRAS RODAJAS
521;7600;IRENE;OSUNA;SCHRAUWEN - ESSEN;DAP;BELGICA;CAMION;33;1980;2175;23485;LKW WALTER;3/2021;ACEITUNAS  RELLENAS  ANCHOA
522;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1615;1850;19178;YUSEN LOGISTICS;3/2021;ACEITUNAS RELLENAS PIMIENTO
523;7100;DAVID;ACENORCA;CERIGNOLA;DAP;ITALIA;CAMION;33;2190;2350;24353;LKW WALTER;3/2021;ACEITUNAS NEGRAS RODAJAS
524;1000;PACHI;ACENORCA;SHARJAH;CFR;ARABIA SAUDITA;20';11;1860;1950;19178;PINTO BASTO;3/2021;ACEITUNAS RELLENAS PIMIENTO
525;400;PACHI;ARASOL;KARACHI;CFR;PAKISTAN;20';11;1650;1825;9226;PINTO BASTO;3/2021;ACEITUNAS  RELLENAS  ANCHOA
526;7700;IRENE;OLIVES;ZEEBRUGGE;DAP;BELGICA;40';25;1790;2195;13382;PINTO BASTO;3/2021;ACEITUNAS VERDES SIN HUESO
527;1500;PACHI;ARASOL;SHUWAIKH;CFR;KUWAIT;20';11;1760;2000;9226;PINTO BASTO;3/2021;ACEITUNAS  RELLENAS  ANCHOA
528;2000;DAVID;CAZORLA;LIEUSAINT;DAP;FRANCIA;CAMION;33;1850;1850;23362;RLC;3/2021;ACEITUNAS RELLENAS PIMIENTO
529;7400;DAVID;ACENORCA;BERGEN OP ZOOM;DAP;PAISES BAJOS;CAMION;33;2150;2200;24353;SILVAN LOGISTICS;3/2021;ACEITUNAS NEGRAS RODAJAS
530;2500;DAVID;ACENORCA;CERIGNOLA;DAP;ITALIA;CAMION;33;2280;2350;14988;TRANSITALIA;4/2021;ACEITUNAS VERDES SIN HUESO
531;7700;IRENE;OSUNA;ZEEBRUGGE;DAP;BELGICA;40';25;1700;2195;19980;SEALAND;4/2021;ACEITUNAS VERDES  RODAJAS
532;7700;IRENE;OLIVES;ZEEBRUGGE;DAP;BELGICA;40';25;1905;2195;13382;SEALAND;4/2021;ACEITUNAS VERDES SIN HUESO
533;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;20';11;1585;1800;19178;BRAID;4/2021;ACEITUNAS RELLENAS PIMIENTO
534;8700;MARIA;ACENORCA;ALGECIRAS;CFR;ESTADOS UNIDOS;40';25;4390;4715;20859;BRAID;4/2021;ACEITUNAS RELLENAS PIMIENTO
535;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;20';11;1610;1600;9226;EUROSHIPPING;4/2021;ACEITUNAS  RELLENAS  ANCHOA
536;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;40';25;2170;2100;20969;EUROSHIPPING;4/2021;ACEITUNAS  RELLENAS  ANCHOA
537;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;40';25;2000;1600;20969;EUROSHIPPING;4/2021;ACEITUNAS  RELLENAS  ANCHOA
538;10300;PACHI;ARASOL;SAN PETERSBURGO;CIF;RUSIA;20';11;1140;1500;9226;TRANSITEX;4/2021;ACEITUNAS  RELLENAS  ANCHOA
539;10300;PACHI;ARASOL;SAN PETERSBURGO;CIF;RUSIA;20';11;1028;1500;19178;YUSEN LOGISTICS;4/2021;ACEITUNAS RELLENAS PIMIENTO
540;6200;PACHI;ACENORCA;DURRES;CFR;ALBANIA;CAMION;33;1400;1400;23485;TRANSITEX;4/2021;ACEITUNAS  RELLENAS  ANCHOA
541;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;2100;2000;13382;OPERINTER;4/2021;ACEITUNAS VERDES SIN HUESO
542;1100;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;20';11;1750;1650;5888;TRANSITEX;4/2021;ACEITUNAS VERDES SIN HUESO
543;5100;DAVID;OSUNA;VITTERBO;DAP;ITALIA;CAMION;33;2010;2370;14988;LKW WALTER;4/2021;ACEITUNAS VERDES SIN HUESO
544;1400;ISABEL;ACENORCA;HAIFA;CFR;ISRAEL;40';25;1380;2650;13382;PINTO BASTO;4/2021;ACEITUNAS VERDES SIN HUESO
545;1400;ISABEL;ACENORCA;HAIFA;CFR;ISRAEL;20';11;1390;2650;9567;PINTO BASTO;4/2021;ACEITUNAS NEGRAS RODAJAS
546;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;20';11;1620;1800;19178;PINTO BASTO;4/2021;ACEITUNAS RELLENAS PIMIENTO
547;6300;PACHI;CAZORLA;GDANSK;DDP;POLONIA;20';11;1625;1600;9567;PINTO BASTO;4/2021;ACEITUNAS NEGRAS RODAJAS
548;3200;DAVID;ACENORCA;LURE;DAP;FRANCIA;CAMION;33;1850;2000;23362;RLC;4/2021;ACEITUNAS RELLENAS PIMIENTO
549;3200;DAVID;ACENORCA;LURE;DAP;FRANCIA;CAMION;33;1850;2000;22378;RLC;4/2021;ACEITUNAS VERDES  RODAJAS
550;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1650;1425;23362;RLC;4/2021;ACEITUNAS RELLENAS PIMIENTO
551;100;PACHI;OSUNA;NHAVA SHEVA;CFR;INDIA;20';11;1450;2000;19178;OPERINTER;5/2021;ACEITUNAS RELLENAS PIMIENTO
552;400;PACHI;OSUNA;PORT QASIM;CFR;PAKISTAN;20';11;1800;2100;9567;PINTO BASTO;5/2021;ACEITUNAS NEGRAS RODAJAS
553;7800;DAVID;OLIVES;DONCASTER;DAP;REINO UNIDO;40';25;2245;2393;21744;PINTO BASTO;5/2021;ACEITUNAS NEGRAS RODAJAS
554;4800;DAVID;ACENORCA;CHARD;DAP;REINO UNIDO;20';11;2880;2800;9567;ZETA SHIPPING;5/2021;ACEITUNAS NEGRAS RODAJAS
555;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1590;1800;9567;PINTO BASTO;5/2021;ACEITUNAS NEGRAS RODAJAS
556;2000;DAVID;CAZORLA;LIEUSAINT;DAP;FRANCIA;CAMION;33;1350;1750;23362;TRANSTIRA;5/2021;ACEITUNAS RELLENAS PIMIENTO
557;1100;PACHI;OSUNA;JEDDAH;CFR;ARABIA SAUDITA;40';25;1700;1800;21744;PINTO BASTO;5/2021;ACEITUNAS NEGRAS RODAJAS
558;7200;DAVID;ARASOL;FLEURY LES AUBRAIS;DAP;FRANCIA;CAMION;33;1660;1835;14988;CARRERAS;5/2021;ACEITUNAS VERDES SIN HUESO
559;7700;IRENE;OLIVES;ZEEBRUGGE;DDP;BELGICA;CAMION;33;1850;2195;23362;LKW WALTER;5/2021;ACEITUNAS RELLENAS PIMIENTO
560;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;20';11;1940;2100;19178;RABEN AIRSEA;5/2021;ACEITUNAS RELLENAS PIMIENTO
561;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;20';11;1956;1700;9567;SEALAND;5/2021;ACEITUNAS NEGRAS RODAJAS
562;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;20';11;1785;2100;19178;SEALAND;5/2021;ACEITUNAS RELLENAS PIMIENTO
563;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;20';11;1815;1400;9567;CONTAINERSHIPS;5/2021;ACEITUNAS NEGRAS RODAJAS
564;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;2563;2700;19980;CONTAINERSHIPS;5/2021;ACEITUNAS VERDES  RODAJAS
565;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1640;1800;9567;PINTO BASTO;5/2021;ACEITUNAS NEGRAS RODAJAS
566;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;20';11;1568;1600;18791;SEALAND;5/2021;ACEITUNAS VERDES  RODAJAS
567;5300;IRENE;OSUNA;HAMM;DDP;ALEMANIA;CAMION;33;2695;3300;23485;VERTEX;5/2021;ACEITUNAS  RELLENAS  ANCHOA
568;10300;PACHI;CAZORLA;SAN PETERSBURGO;CFR;RUSIA;40';25;1440;1600;21744;TRANSITEX;5/2021;ACEITUNAS NEGRAS RODAJAS
569;3200;DAVID;ACENORCA;LURE;DAP;FRANCIA;CAMION;33;1900;2000;22378;NEPTUNE;5/2021;ACEITUNAS VERDES  RODAJAS
570;4600;DAVID;ACENORCA;CAZZAGO ;DAP;ITALIA;CAMION;33;1850;2100;23485;TRANSMOVIEX;5/2021;ACEITUNAS  RELLENAS  ANCHOA
571;7600;IRENE;OSUNA;HERMALLES;DAP;BELGICA;CAMION;33;2100;2350;14988;TRANSTIRA;5/2021;ACEITUNAS VERDES SIN HUESO
572;500;PACHI;ARASOL;CHATTOGRAM;CFR;BANGLADESH;20';11;2475;2800;18791;PINTO BASTO;5/2021;ACEITUNAS VERDES  RODAJAS
573;3300;DAVID;OLIVES;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1400;2250;24353;PEREZ RANGEL;5/2021;ACEITUNAS NEGRAS RODAJAS
574;5100;DAVID;OSUNA;VITTERBO;DAP;ITALIA;CAMION;33;2010;2370;14988;LKW WALTER;5/2021;ACEITUNAS VERDES SIN HUESO
575;10300;PACHI;CAZORLA;SAN PETERSBURGO;CFR;RUSIA;40';25;1440;1600;19980;TRANSITEX;5/2021;ACEITUNAS VERDES  RODAJAS
576;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1620;1850;5888;YUSEN LOGISTICS;5/2021;ACEITUNAS VERDES SIN HUESO
577;7700;IRENE;OLIVES;ZEEBRUGGE;DDP;BELGICA;CAMION;33;1955;2495;14988;TRANSTIRA;5/2021;ACEITUNAS VERDES SIN HUESO
578;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;1535;1450;20859;DSV;5/2021;ACEITUNAS RELLENAS PIMIENTO
579;3200;DAVID;ACENORCA;LURE;DAP;FRANCIA;CAMION;33;1750;2000;23485;PEREZ RANGEL;5/2021;ACEITUNAS  RELLENAS  ANCHOA
580;6700;DAVID;ACENORCA;SARNO;DAP;ITALIA;CAMION;33;1950;1800;14988;SMET;5/2021;ACEITUNAS VERDES SIN HUESO
581;6700;DAVID;ACENORCA;CASTELLO DI ANNONE;DAP;ITALIA;CAMION;33;1947;1800;14988;LIBERTIA;5/2021;ACEITUNAS VERDES SIN HUESO
582;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1990;1580;13382;CONTAINERSHIPS;5/2021;ACEITUNAS VERDES SIN HUESO
583;500;PACHI;ARASOL;CHATTOGRAM;CFR;BANGLADESH;20';11;2475;2800;5888;PINTO BASTO;5/2021;ACEITUNAS VERDES SIN HUESO
584;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;1711;2250;21744;CONTAINERSHIPS;5/2021;ACEITUNAS NEGRAS RODAJAS
585;3100;IRENE;OLIVES;HAMBURGO;DDP;ALEMANIA;40';25;1745;1650;13382;TRANSITEX;5/2021;ACEITUNAS VERDES SIN HUESO
586;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;11810;2150;20969;TRANSITEX;5/2021;ACEITUNAS  RELLENAS  ANCHOA
587;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;3090;2550;14988;TRANSTIRA;5/2021;ACEITUNAS VERDES SIN HUESO
588;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;1450;1680;14988;RAGALDU;5/2021;ACEITUNAS VERDES SIN HUESO
589;8400;MARIA;ARASOL;NEW JERSEY;CFR;ESTADOS UNIDOS;40';25;1900;2000;13382;TRANSLEVANTE;5/2021;ACEITUNAS VERDES SIN HUESO
590;4800;DAVID;ARASOL;CHARD;DAP;REINO UNIDO;20';11;2615;2900;9226;ELLERMAN;5/2021;ACEITUNAS  RELLENAS  ANCHOA
591;10300;PACHI;ARASOL;SAN PETERSBURGO;CIF;RUSIA;20';11;1348;1500;19178;YUSEN LOGISTICS;5/2021;ACEITUNAS RELLENAS PIMIENTO
592;5300;IRENE;ACENORCA;HAMM;DAP;ALEMANIA;CAMION;33;1900;2550;22378;LKW WALTER;5/2021;ACEITUNAS VERDES  RODAJAS
593;10200;ISABEL;ARASOL;KLAIPEDA;CIF;LITUANIA;20';11;1187;1600;9226;YUSEN LOGISTICS;5/2021;ACEITUNAS  RELLENAS  ANCHOA
594;4300;IRENE;ACENORCA;BOCHUM;DAP;ALEMANIA;CAMION;33;1980;2150;14988;TRANSTIRA;5/2021;ACEITUNAS VERDES SIN HUESO
595;4300;IRENE;ACENORCA;BOCHUM;DAP;ALEMANIA;CAMION;33;1950;2150;14988;LKW WALTER;5/2021;ACEITUNAS VERDES SIN HUESO
