operacion;cliente;comercial;origen;destino;incoterm;pais;transporte;qpallets;costotransporte;tarifacomerciales;precio;agencia;fechacarga;producto
128;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1640;1800;9108;PINTO BASTO;6/2020;ACEITUNAS NEGRAS RODAJAS
129;2100;DAVID;ARASOL;MANCHESTER;DDP;REINO UNIDO;40';25;2060;2530;24120;CONTAINERSHIPS;6/2020;ACEITUNAS RELLENAS PIMIENTO
130;5200;DAVID;ARASOL;HODDESDON;DDP;REINO UNIDO;40';25;1750;2232;13188;MSC;6/2020;ACEITUNAS VERDES SIN HUESO
131;200;PACHI;OSUNA;POTI;CFR;GEORGIA;40';25;1941;2245;13188;YUSEN LOGISTICS;6/2020;ACEITUNAS VERDES SIN HUESO
132;1100;PACHI;OSUNA;JEDDAH;CFR;ARABIA SAUDITA;20';11;1640;1800;21580;PINTO BASTO;6/2020;ACEITUNAS RELLENAS PIMIENTO
133;7800;DAVID;OSUNA;ARMSTRONG;DAP;REINO UNIDO;40';25;2950;2227;26180;IBERICA TRANSLOGISTIC;6/2020;ACEITUNAS VERDES  RODAJAS
134;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;2133;1650;20400;YUSEN LOGISTICS;6/2020;ACEITUNAS  RELLENAS  ANCHOA
135;7200;DAVID;ARASOL;FLEURY LES AUBRAIS;DDP;FRANCIA;CAMION;33;2200;2600;11187;CARCABA;6/2020;ACEITUNAS RELLENAS PIMIENTO
136;6700;DAVID;ACENORCA;CASTELLO DI ANNONE;DAP;ITALIA;CAMION;33;1570;1800;10053;LIBERTIA;6/2020;ACEITUNAS  RELLENAS  ANCHOA
137;8300;PACHI;ARASOL;PARANAGUA;CFR;BRASIL;40';25;1695;2025;13188;BRAID;6/2020;ACEITUNAS VERDES SIN HUESO
138;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;1560;1650;20700;PINTO BASTO;6/2020;ACEITUNAS NEGRAS RODAJAS
139;100;PACHI;ARASOL;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1475;1800;5803;YUSEN LOGISTICS;6/2020;ACEITUNAS VERDES SIN HUESO
140;6300;PACHI;OSUNA;GDANSK;DDP;POLONIA;20';11;1360;1600;9108;SEALAND;6/2020;ACEITUNAS NEGRAS RODAJAS
141;5300;IRENE;ACENORCA;HAMM;DAP;ALEMANIA;CAMION;33;1810;2550;8497;SENNDER;6/2020;ACEITUNAS VERDES SIN HUESO
142;300;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;40';25;2270;2300;24120;PINTO BASTO;6/2020;ACEITUNAS RELLENAS PIMIENTO
143;2100;DAVID;ARASOL;LEYTON;DDP;REINO UNIDO;20';11;2190;3120;11517;CONTAINERSHIPS;6/2020;ACEITUNAS VERDES  RODAJAS
