BL/AWB/PRO	Container	Purchase Order	Forwarder	Est. POL Date	Est. POD Date	Mode	POL	País	Customs Inspection	Planned to HUB	Planned to Warehouse	Cont. Date 1	Carrier	Order Qty	Transport price
XM2212001B	TRHU8409571	121259- 121620- 121950- 121952- 121956- 121963- 121966- 122219- 122226- 122222- 122223- 122227- 122232- 122238- 122233- 122236- 122234- 123971- 123972	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN			1		10/1/2023	Mediterranean Shipping Company (MSC)	22000	2800
XM2212001C	CAXU7452074	114693- 122049- 122055- 122054- 122064- 122065- 122099- 122104- 122101- 122106- 122111- 122151- 123367- 123361- 123373- 123375- 123377- 123385- 124615- 124621- 124618- 124622- 124732- 124922- 124917- 124933- 124929- 124972- 124971	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN			1		10/1/2023	Mediterranean Shipping Company (MSC)	9552	2800
XM2212001C	TGBU7989785	121848- 121953- 121969- 122119- 122126- 122118- 122125- 122128- 122123- 122135- 122240- 122257- 122304- 122297- 122305- 124492- 124935- 124939- 124943- 124942	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	17/1/2023	Mediterranean Shipping Company (MSC)	1218	2800
XM2212001F	MSDU4214021	121063- 121477- 121484	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	13/1/2023	Mediterranean Shipping Company (MSC)	69981	2800
XM2212001D/01	MEDU4177867	121295- 122057- 122620- 122626	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	12950	2800
XM2212001D/01	TCLU4448579	121260- 121265- 121295	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	7902	2800
XM2212001G/01	MSDU7184234	121222- 120916	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	32080	2800
XM2212001E	MSCU4373797	124122- 124133	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	19481	2800
XM2212001E	MSCU4374582	124122	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	6301	2800
XM2212001H	MSDU8116872	121108- 121060	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	5352	2800
XM2212003A	BEAU5929808	121161- 121129- 121125- 121209	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Mediterranean Shipping Company (MSC)	6701	2800
XM2212003A	TEMU6668918	121392- 121396- 121132- 121211- 120908	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	13/1/2023	Mediterranean Shipping Company (MSC)	6150	2800
XM2212003B	MSDU7703638	121167	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	13/1/2023	Mediterranean Shipping Company (MSC)	6502	2800
XM2212003B	MSMU7202993	121415- 120920	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	13/1/2023	Maersk Line	4400	3300
XM2212003F	MSDU5276250	121467- 121040- 121061	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Hapag - Lloyd	1700	3200
XM2212003F	TGBU7813986	121058- 121476	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	13/1/2023	Hapag - Lloyd	10500	3200
XM2212003G	MEDU7064099	121460- 128602- 128851	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Hapag - Lloyd	2688	3200
XM2212003G	TCNU2362961	121473- 121083- 121087	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	13/1/2023	Mediterranean Shipping Company (MSC)	53886	2800
XM2212003C	FFAU1362970	121150- 121182- 121188	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN			1		9/1/2023	Mediterranean Shipping Company (MSC)	1000	2800
XM2212003C	MSDU5898567	121383- 121384- 121187- 121202- 120930	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Mediterranean Shipping Company (MSC)	2000	2800
XM2212003H/01	MEDU7670795	120853- 120854- 120867- 120868- 120871	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Mediterranean Shipping Company (MSC)	9300	2800
XM2212003H/01	MSDU7488469	120948- 120953- 120967- 120978- 120989- 120998- 120872	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	13/1/2023	Mediterranean Shipping Company (MSC)	9201	2800
XM2212003H/02	MSDU7488469	120948- 120953- 120967- 120978- 120989- 120998- 120872	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	13/1/2023	Mediterranean Shipping Company (MSC)	5654	2800
XM2212005A	CRLU1303980	124340- 124339- 124455- 124470- 124679- 124676- 124681	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	10/1/2023	Mediterranean Shipping Company (MSC)	6800	2800
XM2212005C	TRLU1878301	122620- 122621	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	5202	2800
XM2212005B	MEDU9077454	121220- 121050	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	10/1/2023	Mediterranean Shipping Company (MSC)	11640	2800
XM2212005D	MEDU9127597	121075- 121067- 121074- 121071	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN			1		9/1/2023	Mediterranean Shipping Company (MSC)	4480	2800
XM2212005D	MEDU9144697	121078- 120861- 120860- 120863- 120862	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	10/1/2023	Mediterranean Shipping Company (MSC)	15340	2800
XM2212005E	CRLU1328633	121035- 121008- 121014- 121021	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	10/1/2023	Mediterranean Shipping Company (MSC)	10518	2800
XM2212005E	TTNU8011360	121459- 121007	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	6300	2800
XM2212005G	GESU9275913	121424- 121033	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	10/1/2023	Mediterranean Shipping Company (MSC)	5852	2800
XM2212005G	SZLU9073130	121123- 121054	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	10/1/2023	Mediterranean Shipping Company (MSC)	6283	2800
XM2212005F	CRLU7204938	121086- 121091- 121099	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN			1		9/1/2023	Mediterranean Shipping Company (MSC)	7000	2800
XM2212005F	MSCU7315367	121455- 121584- 121451- 121585- 121447	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	10/1/2023	Mediterranean Shipping Company (MSC)	6902	2800
XM2212005I	TEMU9016003	121389- 121388- 120801- 120806- 127874	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	10/1/2023	Mediterranean Shipping Company (MSC)	4350	2800
