BL/AWB/PRO	Container	Purchase Order	Forwarder	Est. POL Date	Est. POD Date	Mode	POL	País	Customs Inspection	Planned to HUB	Planned to Warehouse	Cont. Date 1	Carrier	Order Qty	Transport price
ME230307/05	HLXU8415469	123055- 123405- 123443- 124035- 124588- 124872- 125981- 126003- 126004- 126032- 126049- 126058- 126066- 126064- 126063- 126224- 126265- 126718- 126720- 126721	Raminatrans	20/1/2023	2/3/2023	Ocean	Shanghai- CN			1		6/3/2023	Mediterranean Shipping Company (MSC)	6000	2900
1050762476	SEGU5684950	125228- 125242- 125243- 125277- 125274- 125282- 125272- 125291- 125431- 125437- 125435- 125442- 125444- 125440- 125454- 125213- 125319- 125323- 125352- 126476- 126483- 125355- 126630	Kuehne & Nagel	21/1/2023	19/2/2023	Ocean	Chattogram- BD				1	22/2/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	6400	1825
1050722457	TGBU7244961	121642- 125042- 125040- 125044- 125347- 125358- 125370- 125376- 125368- 125378- 125383- 125388- 125414- 125418- 125415- 125421- 125419- 125423- 125420	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD				1	28/2/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	41073	1825
1050794350	TEMU6747180	121521- 121539- 121552- 121563- 121574- 121655- 121664- 121671- 121680- 121695- 124909- 124914- 125047- 125568	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD		1	1		2/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	43100	1825
1050796483	TCNU4542387	121633- 121751- 121755- 121759- 124639- 124645- 124648- 124650- 124662- 124660- 124698- 124695- 124760- 124764- 124766- 124770- 124768- 124814- 124838- 124853- 124918- 124920- 124923- 124931- 124928- 124955- 124959- 125382- 125386- 125422- 125427	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD				1	28/2/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	20736	1825
1050795864	TGBU7244961	121642- 125042- 125040- 125044- 125347- 125358- 125370- 125376- 125368- 125378- 125383- 125388- 125414- 125418- 125415- 125421- 125419- 125423- 125420	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD				1	28/2/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	14450	1825
1050797671	TCNU4542387	121633- 121751- 121755- 121759- 124639- 124645- 124648- 124650- 124662- 124660- 124698- 124695- 124760- 124764- 124766- 124770- 124768- 124814- 124838- 124853- 124918- 124920- 124923- 124931- 124928- 124955- 124959- 125382- 125386- 125422- 125427	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD				1	28/2/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	4500	1645
1050795271	JXLU7822998	120842- 121010- 121006- 121171- 121179- 121317- 124123- 124119- 124126- 124129- 124910- 124912	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD		1	1		2/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	37200	1825
1050796253	TRHU7717121	121151- 121193- 121200- 121334- 122941- 123528- 123530- 123547- 123541- 123542- 123545- 123550- 125417- 125460- 125446	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD				1	28/2/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	12200	1825
1050777013	TRHU7717121	121151- 121193- 121200- 121334- 122941- 123528- 123530- 123547- 123541- 123542- 123545- 123550- 125417- 125460- 125446	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD				1	28/2/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	16301	1645
1050778182	TCNU4542387	121633- 121751- 121755- 121759- 124639- 124645- 124648- 124650- 124662- 124660- 124698- 124695- 124760- 124764- 124766- 124770- 124768- 124814- 124838- 124853- 124918- 124920- 124923- 124931- 124928- 124955- 124959- 125382- 125386- 125422- 125427	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD				1	28/2/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	35706	1645
1050782476	JXLU7822998	120842- 121010- 121006- 121171- 121179- 121317- 124123- 124119- 124126- 124129- 124910- 124912	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD		1	1		2/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	7501	1645
1050778293	TEMU6747180	121521- 121539- 121552- 121563- 121574- 121655- 121664- 121671- 121680- 121695- 124909- 124914- 125047- 125568	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD		1	1		2/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	76700	1645
1050782823	JXLU7822998	120842- 121010- 121006- 121171- 121179- 121317- 124123- 124119- 124126- 124129- 124910- 124912	Kuehne & Nagel	22/1/2023	19/2/2023	Ocean	Chattogram- BD		1	1		2/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	37050	1645
1050571157	TGHU8066070	121723- 121737- 121746- 121758- 121768- 122447- 122442- 122446- 124486- 121769- 125575- 125574- 126420- 126422- 126421- 126426- 126442- 126450- 126440- 126451- 126448- 126443- 126452- 126429- 126453- 126461- 126563- 126566- 126956- 126960- 128442	Kuehne & Nagel	22/1/2023	4/3/2023	Ocean	Shanghai- CN		1	1		13/3/2023	Mediterranean Shipping Company (MSC)	123680	2495
1050507018	MSDU7995273	121994- 122002- 122121- 123942- 124867	Kuehne & Nagel	22/1/2023	4/3/2023	Ocean	Shanghai- CN			1		8/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	2000	2495
1050570444	TGHU8066070	121723- 121737- 121746- 121758- 121768- 122447- 122442- 122446- 124486- 121769- 125575- 125574- 126420- 126422- 126421- 126426- 126442- 126450- 126440- 126451- 126448- 126443- 126452- 126429- 126453- 126461- 126563- 126566- 126956- 126960- 128442	Kuehne & Nagel	22/1/2023	4/3/2023	Ocean	Shanghai- CN		1	1		13/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	17864	2495
1050569920	TGHU8066070	121723- 121737- 121746- 121758- 121768- 122447- 122442- 122446- 124486- 121769- 125575- 125574- 126420- 126422- 126421- 126426- 126442- 126450- 126440- 126451- 126448- 126443- 126452- 126429- 126453- 126461- 126563- 126566- 126956- 126960- 128442	Kuehne & Nagel	22/1/2023	4/3/2023	Ocean	Shanghai- CN		1	1		13/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	14670	2495
1050571881	TGHU8066070	121723- 121737- 121746- 121758- 121768- 122447- 122442- 122446- 124486- 121769- 125575- 125574- 126420- 126422- 126421- 126426- 126442- 126450- 126440- 126451- 126448- 126443- 126452- 126429- 126453- 126461- 126563- 126566- 126956- 126960- 128442	Kuehne & Nagel	22/1/2023	4/3/2023	Ocean	Shanghai- CN		1	1		13/3/2023	Mediterranean Shipping Company (MSC)	3900	2495
1050572822	TGHU8066070	121723- 121737- 121746- 121758- 121768- 122447- 122442- 122446- 124486- 121769- 125575- 125574- 126420- 126422- 126421- 126426- 126442- 126450- 126440- 126451- 126448- 126443- 126452- 126429- 126453- 126461- 126563- 126566- 126956- 126960- 128442	Kuehne & Nagel	22/1/2023	4/3/2023	Ocean	Shanghai- CN		1	1		13/3/2023	Mediterranean Shipping Company (MSC)	900	2495
1050089878	TGHU8066070	121723- 121737- 121746- 121758- 121768- 122447- 122442- 122446- 124486- 121769- 125575- 125574- 126420- 126422- 126421- 126426- 126442- 126450- 126440- 126451- 126448- 126443- 126452- 126429- 126453- 126461- 126563- 126566- 126956- 126960- 128442	Kuehne & Nagel	22/1/2023	4/3/2023	Ocean	Shanghai- CN		1	1		13/3/2023	Mediterranean Shipping Company (MSC)	2900	2495
1050571483	TGHU8066070	121723- 121737- 121746- 121758- 121768- 122447- 122442- 122446- 124486- 121769- 125575- 125574- 126420- 126422- 126421- 126426- 126442- 126450- 126440- 126451- 126448- 126443- 126452- 126429- 126453- 126461- 126563- 126566- 126956- 126960- 128442	Kuehne & Nagel	22/1/2023	4/3/2023	Ocean	Shanghai- CN		1	1		13/3/2023	Mediterranean Shipping Company (MSC)	20102	2495
1050782910	GCXU5345693	124617- 124702- 124709- 124720- 124715- 124726- 124731- 124734- 124772- 124775- 124836- 124851- 125389- 125512	Kuehne & Nagel	24/1/2023	19/2/2023	Ocean	Chattogram- BD			1		27/2/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	47500	1825
1050871532	GCXU5345693	124617- 124702- 124709- 124720- 124715- 124726- 124731- 124734- 124772- 124775- 124836- 124851- 125389- 125512	Kuehne & Nagel	24/1/2023	19/2/2023	Ocean	Chattogram- BD			1		27/2/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	23364	1825
XM2301020A	CARU5748230	121385- 121203- 120886- 120900- 120913- 120927	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	26/1/2023	28/2/2023	Ocean	Xiamen- CN			1		6/3/2023	Mediterranean Shipping Company (MSC)	7203	3250
XM2301020B/01	FFAU3875122	123372- 123383- 123386- 123365- 124758- 124759- 124925- 124932- 124934- 124941- 124937- 124944- 125259- 125617- 125638- 125641- 125653- 125654- 125657- 125663- 125661- 125662- 125665- 125658- 125678- 125681- 126070- 127898- 127921- 127924- 127927- 128027- 128034	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	26/1/2023	28/2/2023	Ocean	Xiamen- CN			1		6/3/2023	Mediterranean Shipping Company (MSC)	16737	3250
XM2301020B/01	TCNU1427899	127894- 127900- 127906- 127907- 127912- 127913- 127931- 127934- 127937- 128417	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	26/1/2023	28/2/2023	Ocean	Xiamen- CN			1		6/3/2023	Mediterranean Shipping Company (MSC)	65347	3250
XM2301020B/02	FFAU3875122	123372- 123383- 123386- 123365- 124758- 124759- 124925- 124932- 124934- 124941- 124937- 124944- 125259- 125617- 125638- 125641- 125653- 125654- 125657- 125663- 125661- 125662- 125665- 125658- 125678- 125681- 126070- 127898- 127921- 127924- 127927- 128027- 128034	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	26/1/2023	28/2/2023	Ocean	Xiamen- CN			1		6/3/2023	Mediterranean Shipping Company (MSC)	6800	3250
XM2301020C	FFAU2994934	124151- 124821	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	26/1/2023	28/2/2023	Ocean	Xiamen- CN			1		6/3/2023	Maersk Line	8500	3400
XM2301021B	SUDU6972420	124774- 124779- 124771- 124773- 124777- 124883- 124893- 124896- 124952- 124954- 124956- 125628- 125631- 125632- 125634- 125637- 125635- 125642- 125645- 125649- 125651- 125648- 125660- 125674- 125679- 125694- 125709- 125739- 125742- 125837- 125840- 125844- 125841- 125885- 125935- 125987- 127925- 127932- 127928- 127930- 127997- 127998- 128002- 128003- 128005- 128007- 128014- 128000- 128021- 128023- 128025- 128022- 128020	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	26/1/2023	28/2/2023	Ocean	Xiamen- CN			1		6/3/2023	Maersk Line	6200	3400
XM2301021A/01	MRKU6008640	127635- 127655- 127658	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	26/1/2023	28/2/2023	Ocean	Xiamen- CN			1		6/3/2023	Maersk Line	15200	3400
XM2301021A/01	SEKU4629084	127638- 127653- 127951- 127949- 127953	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	26/1/2023	28/2/2023	Ocean	Xiamen- CN			1		6/3/2023	Maersk Line	91350	3400
XM2301021A/02	SEKU4629084	127638- 127653- 127951- 127949- 127953	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	26/1/2023	28/2/2023	Ocean	Xiamen- CN			1		6/3/2023	Mediterranean Shipping Company (MSC)	73240	3250
NBH0123IQ10847	TCKU4717599	122837- 122838- 122848- 123065- 123070- 126541- 126542- 127944- 127947- 127957- 128999- 128998	Raminatrans	26/1/2023	2/3/2023	Ocean	Ningbo- CN			1		7/3/2023	Mediterranean Shipping Company (MSC)	58920	2900
NBH0123MW10625	TCKU4717599	122837- 122838- 122848- 123065- 123070- 126541- 126542- 127944- 127947- 127957- 128999- 128998	Raminatrans	26/1/2023	2/3/2023	Ocean	Ningbo- CN			1		7/3/2023	Mediterranean Shipping Company (MSC)	26016	3675
NBH0123XC10739	TCKU4717599	122837- 122838- 122848- 123065- 123070- 126541- 126542- 127944- 127947- 127957- 128999- 128998	Raminatrans	26/1/2023	2/3/2023	Ocean	Ningbo- CN			1		7/3/2023	Hapag - Lloyd	12508	2900
NBH0123SW12073	HAMU1168863	124666- 124999- 125020- 125021	Raminatrans	26/1/2023	2/3/2023	Ocean	Ningbo- CN				1	6/3/2023	Hapag - Lloyd	12904	2900
NBH0123BB12155	HLXU8354527	127599- 127604- 127601- 127598	Raminatrans	26/1/2023	2/3/2023	Ocean	Ningbo- CN				1	7/3/2023	Hapag - Lloyd	2740	2900
NBH0123HP10144	TGHU8916110	126794- 126793- 126929- 127804- 127887	Raminatrans	26/1/2023	2/3/2023	Ocean	Ningbo- CN				1	7/3/2023	Hapag - Lloyd	5200	2900
NBH0123WG10295	TGHU8916110	126794- 126793- 126929- 127804- 127887	Raminatrans	26/1/2023	2/3/2023	Ocean	Ningbo- CN				1	7/3/2023	Hapag - Lloyd	3100	2900
ME230124/01	MSDU7598825	123811- 123830- 123888- 128366	Raminatrans	27/1/2023	10/3/2023	Ocean	Qingdao- CN				1	16/3/2023	Maersk Line	10200	2900
ME230124/02	MSDU7598825	123811- 123830- 123888- 128366	Raminatrans	27/1/2023	10/3/2023	Ocean	Qingdao- CN				1	16/3/2023	Maersk Line	4532	2900
A000441739	FCIU3161375	122525- 122537- 122541- 122553- 122557- 122559- 122577- 122580	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	29/1/2023	3/2/2023	Ocean	Istanbul- TR				1	9/2/2023	Maersk Line	12500	650
1050715522	BEAU4238798	122595- 122607- 123816- 123824- 123827- 123871- 123896- 123983- 124026	Kuehne & Nagel	29/1/2023	2/3/2023	Ocean	Shanghai- CN				1	9/3/2023	Hapag - Lloyd	2500	2495
1050715120	BEAU4238798	122595- 122607- 123816- 123824- 123827- 123871- 123896- 123983- 124026	Kuehne & Nagel	29/1/2023	2/3/2023	Ocean	Shanghai- CN				1	9/3/2023	Hapag - Lloyd	4100	2495
1050716152	MSMU4857750	123315- 123329- 125630- 126425	Kuehne & Nagel	29/1/2023	2/3/2023	Ocean	Shanghai- CN				1	9/3/2023	Hapag - Lloyd	18072	2495
1050715804	MSMU4857750	123315- 123329- 125630- 126425	Kuehne & Nagel	29/1/2023	2/3/2023	Ocean	Shanghai- CN				1	9/3/2023	Hapag - Lloyd	4601	2495
1050717865	MSMU4857750	123315- 123329- 125630- 126425	Kuehne & Nagel	29/1/2023	2/3/2023	Ocean	Shanghai- CN				1	9/3/2023	Hapag - Lloyd	22000	2495
SFPC2302124287	MSDU7497352	126146- 126150- 126182- 126154- 126188- 126197- 126204- 126207- 126205- 126206- 126233- 126245- 125750- 125737- 125991- 126000- 126011- 126006- 126082- 126210- 126212- 126211- 126264- 126269- 126271- 125800- 125797- 125799	Raminatrans	30/1/2023	17/2/2023	Ocean	Tuticorin- IN			1		23/2/2023	Mediterranean Shipping Company (MSC)	66750	1853
SFPC2302124288	MSDU7497352	126146- 126150- 126182- 126154- 126188- 126197- 126204- 126207- 126205- 126206- 126233- 126245- 125750- 125737- 125991- 126000- 126011- 126006- 126082- 126210- 126212- 126211- 126264- 126269- 126271- 125800- 125797- 125799	Raminatrans	30/1/2023	17/2/2023	Ocean	Tuticorin- IN			1		23/2/2023	Mediterranean Shipping Company (MSC)	6601	1853
1050878720	GAOU6115570	123920- 123925- 123929- 123930- 123941- 123961- 123950- 123965- 123955- 124023- 124614- 124620- 125194- 125185- 125217- 125207- 125220- 125237- 125468- 125523- 125720	Kuehne & Nagel	31/1/2023	26/2/2023	Ocean	Chattogram- BD			1		7/3/2023	Maersk Line	9600	1825
1050943955	GAOU6115570	123920- 123925- 123929- 123930- 123941- 123961- 123950- 123965- 123955- 124023- 124614- 124620- 125194- 125185- 125217- 125207- 125220- 125237- 125468- 125523- 125720	Kuehne & Nagel	31/1/2023	26/2/2023	Ocean	Chattogram- BD			1		7/3/2023	Maersk Line	4000	1825
SFPC2302124412	MEDU8816462	125209- 125210- 125206- 125222- 125225- 125245- 125247- 125249- 125278- 125268- 125280- 125285- 125288- 125292- 125294- 125391- 125394- 125400- 125397- 125403- 125409- 125428- 125447- 125450- 125452- 125406- 125466- 125469- 125740- 126080- 126076- 125312- 125340- 125344- 125307- 125304	Raminatrans	1/2/2023	23/3/2023	Ocean	Tuticorin- IN		1		1	28/3/2023	Maersk Line	2602	1665
SFPC2302124413	FSCU9750622	125558- 125564- 125571- 125573- 125567- 125565- 125577- 125802- 125805- 125810- 125813- 125809- 125807- 125788- 125779- 125804- 125790- 125794- 125768- 125773- 125774- 125767- 125769- 125776- 125798- 126069- 125301- 125326- 125298- 125329- 125333- 125349- 125348	Raminatrans	2/2/2023	17/2/2023	Ocean	Tuticorin- IN				1	22/2/2023	Mediterranean Shipping Company (MSC)	40102	1665
SHVLC2302016	CAIU8524201	126595- 127019	Raminatrans	2/2/2023	27/3/2023	Ocean	Nantong- CN				1	29/3/2023	Hapag - Lloyd	1740	2860
SHVLC2302016	TCLU5779273	126595- 127019	Raminatrans	2/2/2023	27/3/2023	Ocean	Nantong- CN				1	30/3/2023	Hapag - Lloyd	12210	2860
1050876694	TCKU7475457	125519- 125529- 126161- 126164- 126289- 126299- 126125- 126131- 126137- 126143- 126417- 126419- 126116- 126118	Kuehne & Nagel	4/2/2023	4/3/2023	Ocean	Chattogram- BD				1	9/3/2023	Mediterranean Shipping Company (MSC)	100	1825
1051028641	TCKU7475457	125519- 125529- 126161- 126164- 126289- 126299- 126125- 126131- 126137- 126143- 126417- 126419- 126116- 126118	Kuehne & Nagel	4/2/2023	4/3/2023	Ocean	Chattogram- BD				1	9/3/2023	Mediterranean Shipping Company (MSC)	300	1825
1050972882	TCKU7475457	125519- 125529- 126161- 126164- 126289- 126299- 126125- 126131- 126137- 126143- 126417- 126419- 126116- 126118	Kuehne & Nagel	4/2/2023	4/3/2023	Ocean	Chattogram- BD				1	9/3/2023	Mediterranean Shipping Company (MSC)	47914	1825
NBH0123TB15249	MSKU8768217	126868- 127596- 127603- 127609	Raminatrans	7/2/2023	16/3/2023	Ocean	Ningbo- CN			1		20/3/2023	Maersk Line	11703	2300
ME230337/02	CAIU3421176	121291- 121313- 121735- 122774- 122766- 123092- 123989	Raminatrans	8/2/2023	14/3/2023	Ocean	Shekou- CN		1	1		17/3/2023	Hapag - Lloyd	5300	2300
ME230337/03	CAIU3421176	121291- 121313- 121735- 122774- 122766- 123092- 123989	Raminatrans	8/2/2023	14/3/2023	Ocean	Shekou- CN		1	1		17/3/2023	Hapag - Lloyd	4602	2300
ME230337/04	CAIU3421176	121291- 121313- 121735- 122774- 122766- 123092- 123989	Raminatrans	8/2/2023	14/3/2023	Ocean	Shekou- CN		1	1		17/3/2023	Hapag - Lloyd	2100	2300
ME2303371/01	GCXU5107000	126784- 126785	Raminatrans	8/2/2023	14/3/2023	Ocean	Shekou- CN				1	17/3/2023	Hapag - Lloyd	8501	2300
SFPC2302124643	BEAU5390280	126232- 126246- 125336- 125369- 125664- 125785- 125792- 125803- 125814- 125820- 125682- 125721- 125778- 125728- 125825- 126237- 126241- 126270- 126272- 125271- 125295- 125318- 126219- 126227- 126252- 126256- 126261	Raminatrans	10/2/2023	14/3/2023	Ocean	Tuticorin- IN			1		17/3/2023	Ocean Network Express Pte. Ltd.	12200	1665
SFPC2302124644	BEAU5390280	126232- 126246- 125336- 125369- 125664- 125785- 125792- 125803- 125814- 125820- 125682- 125721- 125778- 125728- 125825- 126237- 126241- 126270- 126272- 125271- 125295- 125318- 126219- 126227- 126252- 126256- 126261	Raminatrans	10/2/2023	14/3/2023	Ocean	Tuticorin- IN			1		17/3/2023	Maersk Line	5500	1665
XM2302001A	MRKU6018654	120956- 121038- 121034- 120966- 120976- 121055	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	22/3/2023	Maersk Line	14685	2500
XM2302001A	MSKU9699424	121009- 121015- 121048- 120951- 121052	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN			1		20/3/2023	Maersk Line	10002	2500
XM2302001B	MRKU0895240	125834- 125833- 125847- 125846- 125850- 125853- 125871- 125876- 125883- 126881- 127831- 127842- 127862- 127969	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	20/3/2023	Maersk Line	13001	2500
XM2302001C	MRKU3149780	122636- 122893- 126639- 127787- 127796	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN			1		20/3/2023	Maersk Line	60968	2500
XM2302001C	SUDU5860473	122643- 126636- 127801	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN			1		20/3/2023	Maersk Line	19604	2500
XM2302001D	HASU4551733	126769- 126771- 127627	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	21/3/2023	Maersk Line	9002	2500
XM2302001D	MRSU3998305	127595- 127625- 127623- 127624- 127647- 127652- 127713	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	22/3/2023	Maersk Line	16648	2500
XM2302001F	MRSU6539188	124465- 126775- 127656	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	22/3/2023	Maersk Line	11601	2500
XM2302001F	SUDU6944497	124442- 124522- 124523- 127734	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	22/3/2023	Maersk Line	26104	2500
XM2302001G	TEMU6833524	121428- 121448- 121042- 121046- 121481- 120964	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN			1		20/3/2023	Maersk Line	10600	2500
XM2302001H	FFAU2347500	122883- 122902- 124439- 124452- 124459	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN			1		17/3/2023	Maersk Line	8602	2500
XM2302001J	CAIU4723530	126645- 127698- 127716- 127775	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	21/3/2023	Maersk Line	23926	2500
XM2302001J	TRHU7490830	127665- 127718- 127745- 127771	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	23/3/2023	Maersk Line	15202	2500
XM2302001K	MRKU5368175	124494- 127698- 127758- 127771	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	20/3/2023	Maersk Line	10002	2500
XM2302001K	TLLU5280282	124437- 127666- 127695- 127699- 127733	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	23/3/2023	Maersk Line	8502	2500
XM2302002A	TGHU4584450	123851- 123882- 124763- 124765- 124767- 124769- 124776- 126730- 126733- 126731- 126737- 126735- 126736- 126738- 126729- 126743- 126746- 126747- 126753- 126745- 126741- 126748- 126749- 126755- 126754- 126739- 126744- 126758- 126751- 126757- 126759	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN			1		20/3/2023	Maersk Line	14351	2500
XM2302002B	TGHU4584450	123851- 123882- 124763- 124765- 124767- 124769- 124776- 126730- 126733- 126731- 126737- 126735- 126736- 126738- 126729- 126743- 126746- 126747- 126753- 126745- 126741- 126748- 126749- 126755- 126754- 126739- 126744- 126758- 126751- 126757- 126759	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN			1		20/3/2023	Maersk Line	7403	2500
XM2302002C	TGHU4584450	123851- 123882- 124763- 124765- 124767- 124769- 124776- 126730- 126733- 126731- 126737- 126735- 126736- 126738- 126729- 126743- 126746- 126747- 126753- 126745- 126741- 126748- 126749- 126755- 126754- 126739- 126744- 126758- 126751- 126757- 126759	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN			1		20/3/2023	Mediterranean Shipping Company (MSC)	4120	2600
XM2302001E	MRKU3756823	127688- 127687- 127692- 127714	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	21/3/2023	Mediterranean Shipping Company (MSC)	39305	2600
XM2302001E	MRKU4057780	127698- 127744	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	21/3/2023	Mediterranean Shipping Company (MSC)	12000	2600
XM2302001I	MRKU3115136	124316- 127698	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	20/3/2023	Maersk Line	15601	2500
XM2302001I	MRKU5269172	127628- 127660- 127721- 127771- 127775	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	11/2/2023	17/3/2023	Ocean	Xiamen- CN				1	20/3/2023	Maersk Line	15001	2500
NBH0223NH00625	BEAU5745903	122312- 122310- 122318- 122315- 123856- 123912- 127945- 127948	Raminatrans	11/2/2023	23/3/2023	Ocean	Ningbo- CN				1	27/3/2023	Maersk Line	5001	2300
NBH0223TQ00525	BEAU5745903	122312- 122310- 122318- 122315- 123856- 123912- 127945- 127948	Raminatrans	11/2/2023	23/3/2023	Ocean	Ningbo- CN				1	27/3/2023	Maersk Line	2900	2300
NBH0223YY00481	BEAU5745903	122312- 122310- 122318- 122315- 123856- 123912- 127945- 127948	Raminatrans	11/2/2023	23/3/2023	Ocean	Ningbo- CN				1	27/3/2023	Mediterranean Shipping Company (MSC)	74300	2300
XMVLC2302014	MRKU0991752	126708- 127689	Raminatrans	12/2/2023	23/3/2023	Ocean	Fuzhou- CN			1		28/3/2023	Maersk Line	8433	3075
XMVLC2302014	MSKU1539414	124611- 127689- 127720	Raminatrans	12/2/2023	23/3/2023	Ocean	Fuzhou- CN			1		28/3/2023	Maersk Line	28136	3075
1051161208	FSCU8097940	120972- 121146- 121254- 121257- 121262- 121263- 121266- 121252- 121274- 121268- 121270- 121275- 121276	Kuehne & Nagel	13/2/2023	12/3/2023	Ocean	Chattogram- BD			1		17/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	68800	1825
1051161379	TCNU6371067	121277- 121278- 121280- 121284- 121286- 121553- 121564- 121570- 121575- 121641- 121638- 121636- 124718- 124715- 124743- 124745- 124836- 125495	Kuehne & Nagel	13/2/2023	12/3/2023	Ocean	Chattogram- BD			1		17/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	29405	1825
1051136363	SEGU5814061	121656- 121672- 121681- 121687- 121697- 121711- 121716- 121722- 121724- 121729- 121792- 121797- 121806- 121805- 121803- 121849- 121844- 121841- 125416- 125424- 125425- 125434- 125439	Kuehne & Nagel	13/2/2023	12/3/2023	Ocean	Chattogram- BD			1		16/3/2023	ZIM INTEGRATED SHIPPING SERVICES LTD.	21101	1825
